link,name,rating,reviews,categories,tripadvisor_entity_id,province,new_province,tọa độ,vị trí
https://www.tripadvisor.com.vn/Attraction_Review-g298085-d12639177-Reviews-3D_Museum_Art_in_Paradise_Danang-Da_Nang.html,Bảo tàng 3D Art In Paradise,4.7,340,"[{""id"":11061,""name"":""Viện bảo tàng nghệ thuật""}]",12639177,Đà Nẵng,Đà Nẵng,"16.0954282, 108.2431088","Lô 10, Trần Nhân Tông, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g298085-d12912951-Reviews-Sun_World_Ba_Na_Hills_Cable_Car-Da_Nang.html,Sun World Bà Nà Hills,4.6,229,"[{""id"":11074,""name"":""Xe điện""}]",12912951,Đà Nẵng,Đà Nẵng,"16.0265144, 108.03279719999999","Hoà Ninh, Hòa Vang, Đà Nẵng, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g298085-d14086698-Reviews-Khu_Ph_Du_L_ch_An_Thu_ng-Da_Nang.html,Khu Phố Du Lịch An Thượng,3.8,155,"[{""id"":11154,""name"":""Chợ trời & chợ đường phố""}]",14086698,Đà Nẵng,Đà Nẵng,"16.0503276, 108.24849049999999","298 Võ Nguyên Giáp, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g670918-d4766576-Reviews-Dray_Nur_Waterfall-Buon_Ma_Thuot_Dak_Lak_Province.html,Thác Đray Nur,4.3,191,"[{""id"":11108,""name"":""Thác nước""}]",4766576,Đắk Lắk,Đắk Lắk,"12.5414316, 107.89056479999999","Đường đi thác Dray Nur, Dray Sáp, Krông A Na, Đắk Lắk, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g670918-d3506904-Reviews-Ethnographic_Museum-Buon_Ma_Thuot_Dak_Lak_Province.html,Bảo tàng Đắk Lắk,4.2,95,"[{""id"":11158,""name"":""Viện bảo tàng chuyên ngành""}]",3506904,Đắk Lắk,Đắk Lắk,"12.676048699999999, 108.042125","02 Y Ngông, phường, Buôn Ma Thuột, Đắk Lắk, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g670918-d8010365-Reviews-Trung_Nguyen_Village_Coffee-Buon_Ma_Thuot_Dak_Lak_Province.html,Làng Cà Phê Trung Nguyên,3.8,91,"[{""id"":11158,""name"":""Viện bảo tàng chuyên ngành""}]",8010365,Đắk Lắk,Đắk Lắk,"12.7015265, 108.0607036","163 Đ. Lý Thái Tổ, Tân An, Buôn Ma Thuột, Đắk Lắk, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1633422-d1633432-Reviews-Lak_Lake-Dak_Lak_Province.html,Hồ Lắk,4.4,85,"[{""id"":11159,""name"":""Vùng nước""}]",1633432,Đắk Lắk,Đắk Lắk,"12.423294, 108.1828931","Lắk, Đắk Lắk, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g670918-d4869953-Reviews-Dray_Sap_Falls-Buon_Ma_Thuot_Dak_Lak_Province.html,Thác Đray Sáp,3.9,57,"[{""id"":11108,""name"":""Thác nước""}]",4869953,Đắk Lắk,Đắk Lắk,"12.5378174, 107.8902844","GVQR+44F, Đắk Sôr, Krông Nô, Đắk Nông, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g670918-d15353695-Reviews-The_World_Coffee_Museum-Buon_Ma_Thuot_Dak_Lak_Province.html,Bảo Tàng Thế giới Cà phê,3.4,47,"[{""id"":11158,""name"":""Viện bảo tàng chuyên ngành""}]",15353695,Đắk Lắk,Đắk Lắk,"12.691472599999999, 108.0448378","Nguyễn Đình Chiểu, Tân Lợi, Buôn Ma Thuột, Đắk Lắk 630000, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g670918-d8408673-Reviews-Kotam_Ecotourism_Destination-Buon_Ma_Thuot_Dak_Lak_Province.html,Khu du lịch sinh thái - văn hóa - cộng đồng Kŏtam,4.2,25,"[{""id"":11091,""name"":""Khu vực tự nhiên & động vật hoang dã""}]",8408673,Đắk Lắk,Đắk Lắk,"12.6912825, 108.1149267","789 Phạm Văn Đồng, P, Buôn Ma Thuột, Đắk Lắk, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1582771-d6454070-Reviews-Mai_Nha_Island-Tuy_Hoa_Dak_Lak_Province.html,Cù lao Mái Nhà,4.5,4,"[{""id"":11053,""name"":""Quần đảo""}]",6454070,Đắk Lắk,Đắk Lắk,"13.28178, 109.3337085","Tuy An, Phú Yên, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1544599-d4108068-Reviews-Dong_Van_Karst_Plateau_Geopark-Ha_Giang_Ha_Giang_Province.html,Cao nguyên đá Đồng Văn,4.9,238,"[{""id"":11083,""name"":""Hình thái địa chất""}]",4108068,Hà Giang,Tuyên Quang,"23.260343, 105.257262","7764+4WJ, QL4C, Xà Phìn, Đồng Văn, Hà Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1544599-d11019378-Reviews-Ma_Pi_Leng_Pass-Ha_Giang_Ha_Giang_Province.html,Đèo Mã Pí Lèng,4.9,228,"[{""id"":11093,""name"":""Đi xe ngắm cảnh""}]",11019378,Hà Giang,Tuyên Quang,"23.24, 105.39999999999999","Pải Lủng, Mèo Vạc, Hà Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1544599-d6932298-Reviews-Lung_Cu_Flag_Tower-Ha_Giang_Ha_Giang_Province.html,Cột Cờ Lũng Cú,4.2,175,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""},{""id"":11068,""name"":""Đài & tháp quan sát""}]",6932298,Hà Giang,Tuyên Quang,"23.3634061, 105.31630009999999","đỉnh, Lũng Cú, Đồng Văn, Tuyên Quang 312600, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1544599-d8291670-Reviews-Thon_Tha_Village-Ha_Giang_Ha_Giang_Province.html,Thôn Tha,4.9,68,"[{""id"":11066,""name"":""Khu lân cận""},{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",8291670,Hà Giang,Tuyên Quang,"21.7698608, 105.19046279999999","Q59R+W5W, Unnamed, Road, Yên Sơn, Tuyên Quang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g4200402-d8380132-Reviews-Dinh_Vua_Meo-Dong_Van_Ha_Giang_Province.html,Dinh Vua Mèo,4.2,59,"[{""id"":11051,""name"":""Địa điểm lịch sử""},{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",8380132,Hà Giang,Tuyên Quang,"23.2563483, 105.2621695","Xà Phìn, Đồng Văn, Hà Giang 310000, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1544599-d27618682-Reviews-Massage_Tu_n_Du-Ha_Giang_Ha_Giang_Province.html,Massage Tuấn Du,5,40,"[{""id"":11139,""name"":""Spa""}]",27618682,Hà Giang,Tuyên Quang,"22.8251833, 104.9838458","477 Nguyễn Trãi, P. Nguyễn Trãi, Hà Giang, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g1544599-d19377923-Reviews-Pao_Town_Cocktail_Bar-Ha_Giang_Ha_Giang_Province.html,Pao Town Cocktail Bar,5,31,"[{""id"":11111,""name"":""Quán bar & câu lạc bộ""}]",19377923,Hà Giang,Tuyên Quang,"22.8217085, 104.9849236","Đối diện cây xăng bệnh viện, 71A Nguyễn Thái Học, P. Minh Khai, Hà Giang, 310000, Việt Nam"
